GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0008033,99,-1.017033577310296,-0.4297909186076793,1.762978789804407e-5,7.1984415280101714e-6,tRNA processing,BP,0.0011862328714255367,1.9485436549958568e-4,1.9485436549958568e-4,3.7102898598679923
GO:0045332,25,0.4654698203415363,0.32788125932697487,2.9334594852613416e-5,8.104773497600467e-6,phospholipid translocation,BP,0.0015700675199523772,2.1689479075964887e-4,2.1689479075964887e-4,3.663750878467628
GO:0030071,31,-0.7334930018658417,-0.6392738895132146,0.2610560277719308,9.209313874644364e-6,regulation of mitotic metaphase/anaphase transition,BP,0.5562110714916135,2.4265289080912993e-4,2.4265289080912993e-4,3.6150145304151495
GO:0036503,89,0.07272612344397886,0.10958968643092167,9.042164606227987e-6,9.273358884425347e-6,ERAD pathway,BP,6.654468014895909e-4,2.4265289080912993e-4,2.4265289080912993e-4,3.6150145304151495
GO:0006366,111,-0.8630184027912042,-0.4228762656208095,0.003062399939772295,1.0065454286787424e-5,transcription by RNA polymerase II,BP,0.04046957528218134,2.576537483193955e-4,2.576537483193955e-4,3.588963535086901
GO:1903826,14,0.1415012996632937,0.5330730242284198,0.04394927273841283,1.0036333454973926e-5,L-arginine transmembrane transport,BP,0.216669842832546,2.576537483193955e-4,2.576537483193955e-4,3.588963535086901
GO:0051897,140,-0.053359380918320744,0.003864931813500127,2.6450751803980886e-6,4.6004736620299045e-4,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,BP,2.708326978190217e-4,0.005363423502020012,2.708326978190217e-4,3.5672989041481937
GO:0030501,29,0.6082358926255244,0.1708899892057585,2.574607928042076e-6,7.000835140976513e-4,positive regulation of bone mineralization,BP,2.708326978190217e-4,0.007262980950220127,2.708326978190217e-4,3.5672989041481937
GO:1903830,13,0.9559788768054908,0.5847174913566893,4.635083389636244e-6,1.2359795633043195e-5,magnesium ion transmembrane transport,BP,4.360003527033685e-4,3.129819216754487e-4,3.129819216754487e-4,3.5044807472565624
GO:0006346,23,-0.6952934203610919,-0.698757475351822,0.43763584011901047,1.2496044409983112e-5,DNA methylation-dependent constitutive heterochromatin formation,BP,0.7232508094598383,3.130657934628748e-4,3.130657934628748e-4,3.504364382149547
GO:0045727,76,-0.6533356211665355,-0.4651572171150182,0.6095767006519383,1.4322392844052559e-5,positive regulation of translation,BP,0.8308602771887754,3.550445805025661e-4,3.550445805025661e-4,3.4497171121542123
GO:0007166,115,-0.15412498391770982,0.0817784957989416,4.844433309386155e-4,1.561284314669025e-5,cell surface receptor signaling pathway,BP,0.010371491312367634,3.7993650383346555e-4,3.7993650383346555e-4,3.420288977959284
GO:2000819,26,-0.7672716747247645,-0.6775420165220806,0.18336525444417415,1.564918932987098e-5,regulation of nucleotide-excision repair,BP,0.45881123929296225,3.7993650383346555e-4,3.7993650383346555e-4,3.420288977959284
GO:0050919,35,0.13483118178812342,0.2376370828932699,3.5248975757387954e-4,1.621310246593581e-5,negative chemotaxis,BP,0.008470544684555983,3.8181856307278834e-4,3.8181856307278834e-4,3.4181429611070913
GO:0030198,88,-0.08099539350062987,0.10434498248449484,7.496069158779142e-5,1.598004710914116e-5,extracellular matrix organization,BP,0.0030707374001977933,3.8181856307278834e-4,3.8181856307278834e-4,3.4181429611070913
