GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0042910,19,0.09220750705884491,0.42059143587694836,0.008128148769293913,2.5090210379460152e-5,xenobiotic transmembrane transporter activity,MF,0.05973025663462222,1.7005587034967437e-4,1.7005587034967437e-4,3.76940837157327
GO:0030020,23,-0.17684928370828976,0.40056940074284764,0.10465140647561477,2.6876716581059178e-5,extracellular matrix structural constituent conferring tensile strength,MF,0.3039874188101191,1.8034276825890707e-4,1.8034276825890707e-4,3.743901268195751
GO:0140297,156,-0.6389896102850967,-0.3739775671273914,0.2972550340079562,2.933218870814188e-5,DNA-binding transcription factor binding,MF,0.5634410390376797,1.9487028339765545e-4,1.9487028339765545e-4,3.710254383254857
GO:0015175,11,0.36440252524827677,0.6572693409652428,0.004751473897466461,3.0672076785678544e-5,neutral L-amino acid transmembrane transporter activity,MF,0.037955226014285665,2.017741521881402e-4,2.017741521881402e-4,3.6951344688277588
GO:0003684,59,-0.8174337604628977,-0.49833988726318756,0.027903188972598997,3.428451661397142e-5,damaged DNA binding,MF,0.13666452409207244,2.2334864706771674e-4,2.2334864706771674e-4,3.6510166739188255
GO:0140326,16,0.6515013564517645,0.42515345892437667,5.538017043638779e-5,3.522399312555935e-5,ATPase-coupled intramembrane lipid transporter activity,MF,0.00128120793648372,2.2726249410817616e-4,2.2726249410817616e-4,3.6434722314367773
GO:0000287,200,-0.6797779388963274,-0.34880522464251706,0.08866213128828453,3.6333019038978435e-5,magnesium ion binding,MF,0.27804588931749646,2.321852930967098e-4,2.321852930967098e-4,3.6341652924752434
GO:0030414,42,0.07272420926522451,0.19250354837428305,0.002891512110464255,4.000872540664113e-5,peptidase inhibitor activity,MF,0.027717208944593074,2.532627806401528e-4,2.532627806401528e-4,3.5964286291999046
GO:0000987,61,-0.7323764887630165,-0.4896847471965223,0.22953901226310205,4.635447880009532e-5,cis-regulatory region sequence-specific DNA binding,MF,0.4828234395879043,2.906902362136819e-4,2.906902362136819e-4,3.5365695551911576
GO:0061459,12,0.441328482533402,0.5292075996153474,0.0035881906955365418,4.874369561012478e-5,L-arginine transmembrane transporter activity,MF,0.031268518918247,3.028427755036456e-4,3.028427755036456e-4,3.5187827822328903
GO:0004252,61,-0.2614925723305788,0.1598691823874656,0.07978313941525544,5.050892921040922e-5,serine-type endopeptidase activity,MF,0.25854428639963367,3.109311146805925e-4,3.109311146805925e-4,3.5073358162072115
GO:0030331,40,-0.7231477125526546,-0.5455514290180791,0.3146027363709189,5.5996226298237206e-5,nuclear estrogen receptor binding,MF,0.5821239422398585,3.3800984190663627e-4,3.3800984190663627e-4,3.471070654090643
GO:0042813,15,0.5105336474354972,0.517218966223421,9.230858635664492e-4,5.641893039276194e-5,Wnt receptor activity,MF,0.011470196563946062,3.3800984190663627e-4,3.3800984190663627e-4,3.471070654090643
GO:0004672,405,-0.524810920271209,-0.2844273822909198,0.7976727650052373,7.110274769343002e-5,protein kinase activity,MF,0.8921478769191381,4.185082780902767e-4,4.185082780902767e-4,3.378295947244504
GO:0140566,29,-0.6339212608083235,-0.5780521276033054,0.6819127295932248,7.06162726473665e-5,histone reader activity,MF,0.8355477462729675,4.185082780902767e-4,4.185082780902767e-4,3.378295947244504
